code,text,label_txt,label_binary
123420,"animal, cat, four legs",specific,0
123420,"animal other, other",general,1
123423,"fox, oth, oth, oth",general,1
123423,"fox, clothe made, parts of strong fox",specific,0
123421,"sheep, other, OTH, other",general,1
123421,"sheep, other:OTH, general",general,1
123423,"female sheep, west size",specific,0
123423,"female sheep, west size 500",specific,0
123424,"dog, brown, fast",specific,0
123425,"cat, small, green",specific,0
123426,"lion, fast, other:other:other/other",general,1
123520,"dog, other:OTHER",general,1
123521,OTH/,general,1
123522,"general bird, other, fly fast",specific,0
123523,"green bird, fast, smooth landing",specific,0
123524,"red bird, OTH, other,",general,1
123525,"blue bird;OTH, # CON, OTHER ",general,1
