code,Indent,text,,,,,,,,,,,,,,,,
101,0,"Live horses, asses, mules and hinnies:",,,,,,,,,,,,,,,,
,1,Horses:,,,,,,,,,,,,,,,,
0101.21.00,2,Purebred breeding animals,,,,,,,,,,,,,,,,
0101.21.00.10,3,Males,,,,,,,,,,,,,,,,
0101.21.00.20,3,Females,,,,,,,,,,,,,,,,
0101.29.00,2,Other,,,,,,,,,,,,,,,,
0101.29.00.10,3,Imported for immediate slaughter,,,,,,,,,,,,,,,,
0101.29.00.90,3,Other,,,,,,,,,,,,,,,,
0101.30.00.00,1,Asses,,,,,,,,,,,,,,,,
101.9,1,Other:,,,,,,,,,,,,,,,,
0101.90.30.00,2,Imported for immediate slaughter,,,,,,,,,,,,,,,,
0101.90.40.00,2,Other,,,,,,,,,,,,,,,,
102,0,Live bovine animals:,,,,,,,,,,,,,,,,
,1,Cattle:,,,,,,,,,,,,,,,,
0102.21.00,2,Purebred breeding animals,,,,,,,,,,,,,,,,
,3,Dairy:,,,,,,,,,,,,,,,,
0102.21.00.10,4,Male,,,,,,,,,,,,,,,,
0102.21.00.20,4,Female,,,,,,,,,,,,,,,,
,3,Other:,,,,,,,,,,,,,,,,
0102.21.00.30,4,Male,,,,,,,,,,,,,,,,
0102.21.00.50,4,Female,,,,,,,,,,,,,,,,
102.29,2,Other:,,,,,,,,,,,,,,,,
0102.29.20,3,Cows imported specially for dairy purposes,,,,,,,,,,,,,,,,
0102.29.20.11,4,Weighing less than 90 kg each,,,,,,,,,,,,,,,,
0102.29.20.12,4,Weighing 90 kg or more each,,,,,,,,,,,,,,,,
0102.29.40,3,Other,,,,,,,,,,,,,,,,
,4,Weighing less than 90 kg each:,,,,,,,,,,,,,,,,
0102.29.40.24,5,Male,,,,,,,,,,,,,,,,
0102.29.40.28,5,Female,,,,,,,,,,,,,,,,
,4,Weighing 90 kg or more but less than 200 kg each:,,,,,,,,,,,,,,,,
0102.29.40.34,5,Male,,,,,,,,,,,,,,,,
0102.29.40.38,5,Female,,,,,,,,,,,,,,,,
,4,Weighing 200 kg or more but less than 320 kg each:,,,,,,,,,,,,,,,,
0102.29.40.54,5,Male,,,,,,,,,,,,,,,,
0102.29.40.58,5,Female,,,,,,,,,,,,,,,,
,4,Weighing 320 kg or more each:,,,,,,,,,,,,,,,,
,5,For immediate slaughter:,,,,,,,,,,,,,,,,
0102.29.40.62,6,Steers,,,,,,,,,,,,,,,,
0102.29.40.64,6,Bulls,,,,,,,,,,,,,,,,
0102.29.40.66,6,Cows,,,,,,,,,,,,,,,,
0102.29.40.68,6,Heifers,,,,,,,,,,,,,,,,
,5,For breeding:,,,,,,,,,,,,,,,,
0102.29.40.72,6,Male,,,,,,,,,,,,,,,,
0102.29.40.74,6,Female,,,,,,,,,,,,,,,,
,5,Other:,,,,,,,,,,,,,,,,
0102.29.40.82,6,Male,,,,,,,,,,,,,,,,
0102.29.40.84,6,Female,,,,,,,,,,,,,,,,
,1,Buffalo:,,,,,,,,,,,,,,,,
0102.31.00,2,Purebred breeding animals,,,,,,,,,,,,,,,,
0102.31.00.10,3,Male,,,,,,,,,,,,,,,,
0102.31.00.20,3,Female,,,,,,,,,,,,,,,,
0102.39.00,2,Other,,,,,,,,,,,,,,,,
0102.39.00.10,3,Bison,,,,,,,,,,,,,,,,
,3,Other:,,,,,,,,,,,,,,,,
,4,Weighing less than 90 kg each:,,,,,,,,,,,,,,,,
0102.39.00.24,5,Male,,,,,,,,,,,,,,,,
0102.39.00.28,5,Female,,,,,,,,,,,,,,,,
,4,Weighing 90 kg or more but less than 200 kg each:,,,,,,,,,,,,,,,,
0102.39.00.34,5,Male,,,,,,,,,,,,,,,,
0102.39.00.38,5,Female,,,,,,,,,,,,,,,,
,4,Weighing 200 kg or more but less than 320 kg each:,,,,,,,,,,,,,,,,
0102.39.00.54,5,Male,,,,,,,,,,,,,,,,
0102.39.00.58,5,Female,,,,,,,,,,,,,,,,
,4,Weighing 320 kg or more each:,,,,,,,,,,,,,,,,
0102.39.00.61,5,For immediate slaughter,,,,,,,,,,,,,,,,
,5,For breeding:,,,,,,,,,,,,,,,,
0102.39.00.72,6,Male,,,,,,,,,,,,,,,,
0102.39.00.74,6,Female,,,,,,,,,,,,,,,,
,5,Other:,,,,,,,,,,,,,,,,
0102.39.00.82,6,Male,,,,,,,,,,,,,,,,
0102.39.00.84,6,Female,,,,,,,,,,,,,,,,
0102.90.00.00,1,Other,,,,,,,,,,,,,,,,
103,0,Live swine:,,,,,,,,,,,,,,,,
0103.10.00.00,1,Purebred breeding animals,,,,,,,,,,,,,,,,
,1,Other:,,,,,,,,,,,,,,,,
0103.91.00,2,Weighing less than 50 kg each,,,,,,,,,,,,,,,,
0103.91.00.10,3,Weighing less than 7 kg each,,,,,,,,,,,,,,,,
0103.91.00.20,3,Weighing 7 kg or more but less than 23 kg each,,,,,,,,,,,,,,,,
0103.91.00.30,3,Weighing 23 kg or more but less than 50 kg each,,,,,,,,,,,,,,,,
0103.92.00,2,Weighing 50 kg or more each,,,,,,,,,,,,,,,,
0103.92.00.10,3,Imported for immediate slaughter,,,,,,,,,,,,,,,,
0103.92.00.20,3,Breeding animals other than purebred breeding animals,,,,,,,,,,,,,,,,
0103.92.00.91,3,Other,,,,,,,,,,,,,,,,
104,0,Live sheep and goats:,,,,,,,,,,,,,,,,
0104.10.00.00,1,Sheep,,,,,,,,,,,,,,,,
0104.20.00.00,1,Goats,,,,,,,,,,,,,,,,
105,0,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas:",,,,,,,,,,,,,,,,
,1,Weighing not more than 185 g:,,,,,,,,,,,,,,,,
0105.11.00,2,Chickens,,,,,,,,,,,,,,,,
,3,"Breeding stock, whether or not purebred:",,,,,,,,,,,,,,,,
0105.11.00.10,4,Layer-type (egg-type),,,,,,,,,,,,,,,,
0105.11.00.20,4,Broiler-type (meat-type),,,,,,,,,,,,,,,,
0105.11.00.40,3,Other,,,,,,,,,,,,,,,,
0105.12.00.00,2,Turkeys,,,,,,,,,,,,,,,,
0105.13.00.00,2,Ducks,,,,,,,,,,,,,,,,
0105.14.00.00,2,Geese,,,,,,,,,,,,,,,,
0105.15.00.00,2,Guinea fowls,,,,,,,,,,,,,,,,
