,code,Indent,text,othersFound,generality
0,101,0,"Live horses, asses, mules and hinnies:",1,specific
1,,1,Horses:,1,specific
2,0101.21.00,2,Purebred breeding animals,1,specific
3,0101.21.00.10,3,Males,1,specific
4,0101.21.00.20,3,Females,1,specific
5,0101.29.00,2,Other,0,Low
6,0101.29.00.10,3,Imported for immediate slaughter,1,specific
7,0101.29.00.90,3,Other,0,Low
8,0101.30.00.00,1,Asses,1,specific
9,101.9,1,Other:,0,Low
10,0101.90.30.00,2,Imported for immediate slaughter,1,specific
11,0101.90.40.00,2,Other,0,Low
12,102,0,Live bovine animals:,1,specific
13,,1,Cattle:,1,specific
14,0102.21.00,2,Purebred breeding animals,1,specific
15,,3,Dairy:,1,specific
16,0102.21.00.10,4,Male,1,specific
17,0102.21.00.20,4,Female,1,specific
18,,3,Other:,0,Low
19,0102.21.00.30,4,Male,1,specific
20,0102.21.00.50,4,Female,1,specific
21,102.29,2,Other:,0,Low
22,0102.29.20,3,Cows imported specially for dairy purposes,1,specific
23,0102.29.20.11,4,Weighing less than 90 kg each,1,specific
24,0102.29.20.12,4,Weighing 90 kg or more each,1,specific
25,0102.29.40,3,Other,0,Low
26,,4,Weighing less than 90 kg each:,1,specific
27,0102.29.40.24,5,Male,1,specific
28,0102.29.40.28,5,Female,1,specific
29,,4,Weighing 90 kg or more but less than 200 kg each:,1,specific
30,0102.29.40.34,5,Male,1,specific
31,0102.29.40.38,5,Female,1,specific
32,,4,Weighing 200 kg or more but less than 320 kg each:,1,specific
33,0102.29.40.54,5,Male,1,specific
34,0102.29.40.58,5,Female,1,specific
35,,4,Weighing 320 kg or more each:,1,specific
36,,5,For immediate slaughter:,1,specific
37,0102.29.40.62,6,Steers,1,specific
38,0102.29.40.64,6,Bulls,1,specific
39,0102.29.40.66,6,Cows,1,specific
40,0102.29.40.68,6,Heifers,1,specific
41,,5,For breeding:,1,specific
42,0102.29.40.72,6,Male,1,specific
43,0102.29.40.74,6,Female,1,specific
44,,5,Other:,0,Low
45,0102.29.40.82,6,Male,1,specific
46,0102.29.40.84,6,Female,1,specific
47,,1,Buffalo:,1,specific
48,0102.31.00,2,Purebred breeding animals,1,specific
49,0102.31.00.10,3,Male,1,specific
50,0102.31.00.20,3,Female,1,specific
51,0102.39.00,2,Other,0,Low
52,0102.39.00.10,3,Bison,1,specific
53,,3,Other:,0,Low
54,,4,Weighing less than 90 kg each:,1,specific
55,0102.39.00.24,5,Male,1,specific
56,0102.39.00.28,5,Female,1,specific
57,,4,Weighing 90 kg or more but less than 200 kg each:,1,specific
58,0102.39.00.34,5,Male,1,specific
59,0102.39.00.38,5,Female,1,specific
60,,4,Weighing 200 kg or more but less than 320 kg each:,1,specific
61,0102.39.00.54,5,Male,1,specific
62,0102.39.00.58,5,Female,1,specific
63,,4,Weighing 320 kg or more each:,1,specific
64,0102.39.00.61,5,For immediate slaughter,1,specific
65,,5,For breeding:,1,specific
66,0102.39.00.72,6,Male,1,specific
67,0102.39.00.74,6,Female,1,specific
68,,5,Other:,0,Low
69,0102.39.00.82,6,Male,1,specific
70,0102.39.00.84,6,Female,1,specific
71,0102.90.00.00,1,Other,0,Low
72,103,0,Live swine:,1,specific
73,0103.10.00.00,1,Purebred breeding animals,1,specific
74,,1,Other:,0,Low
75,0103.91.00,2,Weighing less than 50 kg each,1,specific
76,0103.91.00.10,3,Weighing less than 7 kg each,1,specific
77,0103.91.00.20,3,Weighing 7 kg or more but less than 23 kg each,1,specific
78,0103.91.00.30,3,Weighing 23 kg or more but less than 50 kg each,1,specific
79,0103.92.00,2,Weighing 50 kg or more each,1,specific
80,0103.92.00.10,3,Imported for immediate slaughter,1,specific
81,0103.92.00.20,3,Breeding animals other than purebred breeding animals,0,Low
82,0103.92.00.91,3,Other,0,Low
83,104,0,Live sheep and goats:,1,specific
84,0104.10.00.00,1,Sheep,1,specific
85,0104.20.00.00,1,Goats,1,specific
86,105,0,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas:",1,specific
87,,1,Weighing not more than 185 g:,1,specific
88,0105.11.00,2,Chickens,1,specific
89,,3,"Breeding stock, whether or not purebred:",1,specific
90,0105.11.00.10,4,Layer-type (egg-type),1,specific
91,0105.11.00.20,4,Broiler-type (meat-type),1,specific
92,0105.11.00.40,3,Other,0,Low
93,0105.12.00.00,2,Turkeys,1,specific
94,0105.13.00.00,2,Ducks,1,specific
95,0105.14.00.00,2,Geese,1,specific
96,0105.15.00.00,2,Guinea fowls,1,specific
97,,1,Other:,0,Low
98,0105.94.00.00,2,Chickens,1,specific
99,0105.99.00.00,2,Other,0,Low
